blind.id,mouse,genotype,gender,age,measure,endpoint
1,HW1,+/+,F,3,0.868421053,cell.ratio
2,HX1,Q111/+,M,3,0.860869565,cell.ratio
3,HW2,+/+,F,3,0.921568627,cell.ratio
4,HW3,+/+,F,3,0.854700855,cell.ratio
5,HX2,Q111/+,M,3,0.820143885,cell.ratio
6,HZ1,Q111/+,F,3,0.84,cell.ratio
7,HX3,Q111/+,M,3,0.763358779,cell.ratio
8,HW4,+/+,F,3,0.863247863,cell.ratio
9,HW5,+/+,F,3,0.816513761,cell.ratio
10,HY1,+/+,F,3,0.810344828,cell.ratio
11,HZ2,Q111/+,F,3,0.891666667,cell.ratio
12,HY2,+/+,F,3,0.8359375,cell.ratio
13,HX4,Q111/+,M,3,0.9,cell.ratio
14,HX5,Q111/+,M,3,0.760683761,cell.ratio
15,HY3,+/+,F,3,0.783333333,cell.ratio
16,HZ3,Q111/+,F,3,0.913385827,cell.ratio
17,HY4,+/+,F,3,0.851485149,cell.ratio
18,HX7,Q111/+,M,3,0.79245283,cell.ratio
19,HZ4,Q111/+,F,3,0.875,cell.ratio
20,HV1,+/+,M,3,0.74015748,cell.ratio
21,HV2,+/+,M,3,0.706896552,cell.ratio
22,HX6,Q111/+,M,3,0.945454545,cell.ratio
23,HZ5,Q111/+,F,3,0.841584158,cell.ratio
24,HX8,Q111/+,M,3,0.769911504,cell.ratio
25,HV3,+/+,M,3,0.858333333,cell.ratio
26,HX9,Q111/+,M,3,0.75,cell.ratio
27,HZ6,Q111/+,F,3,0.731481481,cell.ratio
28,HV4,+/+,M,3,0.896,cell.ratio
29,HV5,+/+,M,3,0.696721311,cell.ratio
30,HZ7,Q111/+,F,3,0.793103448,cell.ratio
31,HV6,+/+,M,3,0.9,cell.ratio
32,HV7,+/+,M,3,0.862385321,cell.ratio
33,HZ8,Q111/+,F,3,0.818181818,cell.ratio
34,HV8,+/+,M,3,0.828828829,cell.ratio
35,HZ9,Q111/+,F,3,0.896907216,cell.ratio
1,HW1,+/+,F,3,0.798076923,cell.ratio
2,HX1,Q111/+,M,3,0.722689076,cell.ratio
3,HW2,+/+,F,3,0.836538462,cell.ratio
4,HW3,+/+,F,3,0.678082192,cell.ratio
5,HX2,Q111/+,M,3,0.836206897,cell.ratio
6,HZ1,Q111/+,F,3,0.844036697,cell.ratio
7,HX3,Q111/+,M,3,0.787234043,cell.ratio
8,HW4,+/+,F,3,0.931372549,cell.ratio
9,HW5,+/+,F,3,0.816793893,cell.ratio
10,HY1,+/+,F,3,0.872727273,cell.ratio
11,HZ2,Q111/+,F,3,0.73943662,cell.ratio
12,HY2,+/+,F,3,0.876106195,cell.ratio
13,HX4,Q111/+,M,3,0.818181818,cell.ratio
14,HX5,Q111/+,M,3,0.726495726,cell.ratio
15,HY3,+/+,F,3,0.87,cell.ratio
16,HZ3,Q111/+,F,3,0.786324786,cell.ratio
17,HY4,+/+,F,3,0.933962264,cell.ratio
18,HX7,Q111/+,M,3,0.947368421,cell.ratio
19,HZ4,Q111/+,F,3,0.936170213,cell.ratio
20,HV1,+/+,M,3,0.921568627,cell.ratio
21,HV2,+/+,M,3,0.704347826,cell.ratio
22,HX6,Q111/+,M,3,0.84375,cell.ratio
23,HZ5,Q111/+,F,3,0.844827586,cell.ratio
24,HX8,Q111/+,M,3,0.770992366,cell.ratio
25,HV3,+/+,M,3,0.951456311,cell.ratio
26,HX9,Q111/+,M,3,1.058139535,cell.ratio
27,HZ6,Q111/+,F,3,0.738317757,cell.ratio
28,HV4,+/+,M,3,0.811023622,cell.ratio
29,HV5,+/+,M,3,0.796747967,cell.ratio
30,HZ7,Q111/+,F,3,0.857142857,cell.ratio
31,HV6,+/+,M,3,0.886792453,cell.ratio
32,HV7,+/+,M,3,0.925925926,cell.ratio
33,HZ8,Q111/+,F,3,0.872340426,cell.ratio
34,HV8,+/+,M,3,0.789473684,cell.ratio
35,HZ9,Q111/+,F,3,0.883333333,cell.ratio
1,HX2,Q111/+,M,3,0.813559322,cell.ratio
2,HX3,Q111/+,M,3,0.613636364,cell.ratio
3,HV1,+/+,M,3,0.754237288,cell.ratio
4,HV2,+/+,M,3,0.661016949,cell.ratio
5,HX4,Q111/+,M,3,0.608695652,cell.ratio
6,HX5,Q111/+,M,3,0.903225806,cell.ratio
7,HV3,+/+,M,3,0.677966102,cell.ratio
8,HX6,Q111/+,M,3,0.806722689,cell.ratio
9,HV4,+/+,M,3,0.730769231,cell.ratio
10,HV5,+/+,M,3,0.840909091,cell.ratio
11,HV6,+/+,M,3,0.980582524,cell.ratio
12,HX7,Q111/+,M,3,0.842105263,cell.ratio
13,HX8,Q111/+,M,3,0.841584158,cell.ratio
14,HX9,Q111/+,M,3,0.765217391,cell.ratio
15,HV7,+/+,M,3,0.73,cell.ratio
16,HZ1,Q111/+,F,3,0.742574257,cell.ratio
17,HV8,+/+,M,3,0.705357143,cell.ratio
18,HZ2,Q111/+,F,3,0.828282828,cell.ratio
19,HW1,+/+,F,3,0.812030075,cell.ratio
20,HW2,+/+,F,3,1,cell.ratio
21,HZ3,Q111/+,F,3,0.660550459,cell.ratio
22,HZ4,Q111/+,F,3,0.958762887,cell.ratio
23,HW3,+/+,F,3,0.705035971,cell.ratio
24,HW4,+/+,F,3,0.678571429,cell.ratio
25,HZ5,Q111/+,F,3,0.802197802,cell.ratio
26,HZ6,Q111/+,F,3,0.864864865,cell.ratio
27,HW5,+/+,F,3,0.836538462,cell.ratio
28,HZ7,Q111/+,F,3,0.64,cell.ratio
29,HY1,+/+,F,3,0.825688073,cell.ratio
30,HY2,+/+,F,3,0.908045977,cell.ratio
31,HZ8,Q111/+,F,3,0.696078431,cell.ratio
32,HY3,+/+,F,3,0.831578947,cell.ratio
33,HY4,+/+,F,3,0.782608696,cell.ratio
34,HX1,Q111/+,M,3,0.663716814,cell.ratio
35,HZ9,Q111/+,F,3,0.789473684,cell.ratio
1,FW8,+/+,F,9,0.606060606,cell.ratio
2,MH2,Q111/+,M,9,0.733944954,cell.ratio
3,MW8,+/+,M,9,0.913043478,cell.ratio
4,MH4,Q111/+,M,9,0.803921569,cell.ratio
5,FW6,+/+,F,9,1.023809524,cell.ratio
6,MW3,+/+,M,9,0.854166667,cell.ratio
7,FH7,Q111/+,F,9,0.419753086,cell.ratio
8,MH9,Q111/+,M,9,0.75,cell.ratio
9,FH8,Q111/+,F,9,0.737373737,cell.ratio
10,FH6,Q111/+,F,9,0.690265487,cell.ratio
11,MW6,+/+,M,9,0.875,cell.ratio
12,FW5,+/+,F,9,0.915789474,cell.ratio
13,FH4,Q111/+,F,9,0.75,cell.ratio
14,FW7,+/+,F,9,0.898989899,cell.ratio
15,MW4,+/+,M,9,0.84,cell.ratio
16,MH3,Q111/+,M,9,0.705882353,cell.ratio
17,MW2,+/+,M,9,0.896103896,cell.ratio
18,MH7,Q111/+,M,9,0.855932203,cell.ratio
19,MH1,Q111/+,M,9,0.960784314,cell.ratio
20,MW9,+/+,M,9,0.948051948,cell.ratio
21,MH5,Q111/+,M,9,0.906542056,cell.ratio
22,FW4,+/+,F,9,0.97752809,cell.ratio
23,FH2,Q111/+,F,9,0.87,cell.ratio
24,MW7,+/+,M,9,0.8,cell.ratio
26,FH3,Q111/+,F,9,0.967391304,cell.ratio
27,FW1,+/+,F,9,0.929292929,cell.ratio
28,MW1,+/+,M,9,0.9,cell.ratio
29,FH5,Q111/+,F,9,0.724137931,cell.ratio
30,FW3,+/+,F,9,0.794520548,cell.ratio
31,MH6,Q111/+,M,9,1.046511628,cell.ratio
32,FH9,Q111/+,F,9,0.540540541,cell.ratio
33,MW5,+/+,M,9,0.890410959,cell.ratio
34,MH8,Q111/+,M,9,0.776595745,cell.ratio
35,FH1,Q111/+,F,9,0.806818182,cell.ratio
2,MW4,+/+,M,9,0.716981132,cell.ratio
7,MH6,Q111/+,M,9,0.694736842,cell.ratio
8,MH3,Q111/+,M,9,0.88034188,cell.ratio
10,MW9,+/+,M,9,0.752808989,cell.ratio
11,FW4,+/+,F,9,0.850574713,cell.ratio
12,FW1,+/+,F,9,0.682926829,cell.ratio
13,FW7,+/+,F,9,0.785714286,cell.ratio
14,MH2,Q111/+,M,9,0.79245283,cell.ratio
16,MW5,+/+,M,9,0.762886598,cell.ratio
23,FW5,+/+,F,9,0.95,cell.ratio
25,FH3,Q111/+,F,9,0.794117647,cell.ratio
27,MW3,+/+,M,9,0.737864078,cell.ratio
28,FW3,+/+,F,9,0.858585859,cell.ratio
29,MH5,Q111/+,M,9,0.782178218,cell.ratio
31,MW6,+/+,M,9,0.794392523,cell.ratio
32,FH4,Q111/+,F,9,0.805555556,cell.ratio
33,MH4,Q111/+,M,9,0.97979798,cell.ratio
35,MH8,Q111/+,M,9,0.822222222,cell.ratio
37,FW2,+/+,F,9,0.8,cell.ratio
38,FH6,Q111/+,F,9,0.78,cell.ratio
41,MH9,Q111/+,M,9,0.887755102,cell.ratio
42,MH1,Q111/+,M,9,0.767857143,cell.ratio
44,FW9,+/+,F,9,0.853932584,cell.ratio
46,FH7,Q111/+,F,9,0.654205607,cell.ratio
47,FW8,+/+,F,9,0.873684211,cell.ratio
52,MW7,+/+,M,9,0.852631579,cell.ratio
54,FH2,Q111/+,F,9,0.872340426,cell.ratio
57,MW1,+/+,M,9,0.787234043,cell.ratio
58,FH8,Q111/+,F,9,0.769230769,cell.ratio
60,MH7,Q111/+,M,9,0.905172414,cell.ratio
65,FH1,Q111/+,F,9,0.823529412,cell.ratio
67,FH9,Q111/+,F,9,0.8,cell.ratio
68,MW8,+/+,M,9,0.817204301,cell.ratio
70,FH5,Q111/+,F,9,0.756756757,cell.ratio
1,FW1,+/+,F,9,0.756302521,cell.ratio
2,MH5,Q111/+,M,9,0.680851064,cell.ratio
3,MW6,+/+,M,9,0.760416667,cell.ratio
4,FH5,Q111/+,F,9,0.752380952,cell.ratio
5,MH9,Q111/+,M,9,0.730769231,cell.ratio
7,FH4,Q111/+,F,9,0.85106383,cell.ratio
8,MW7,+/+,M,9,0.855555556,cell.ratio
9,FW9,+/+,F,9,0.836956522,cell.ratio
10,FH9,Q111/+,F,9,0.764705882,cell.ratio
12,FH8,Q111/+,F,9,0.686868687,cell.ratio
14,MH7,Q111/+,M,9,0.788990826,cell.ratio
15,FW5,+/+,F,9,0.631578947,cell.ratio
16,MW5,+/+,M,9,0.660714286,cell.ratio
17,MH8,Q111/+,M,9,0.744680851,cell.ratio
18,FH6,Q111/+,F,9,0.833333333,cell.ratio
19,MW1,+/+,M,9,0.791208791,cell.ratio
20,FH1,Q111/+,F,9,0.804878049,cell.ratio
21,FW7,+/+,F,9,0.925531915,cell.ratio
22,MW4,+/+,M,9,0.795698925,cell.ratio
24,MH3,Q111/+,M,9,0.76146789,cell.ratio
26,MW8,+/+,M,9,0.824561404,cell.ratio
27,FH3,Q111/+,F,9,0.631578947,cell.ratio
28,MH4,Q111/+,M,9,0.793814433,cell.ratio
29,MH6,Q111/+,M,9,0.648351648,cell.ratio
30,MH1,Q111/+,M,9,0.616071429,cell.ratio
31,MW2,+/+,M,9,0.821428571,cell.ratio
32,FW4,+/+,F,9,0.663265306,cell.ratio
33,MW9,+/+,M,9,0.776699029,cell.ratio
34,FH2,Q111/+,F,9,0.775700935,cell.ratio
35,FW3,+/+,F,9,0.851485149,cell.ratio
36,MW3,+/+,M,9,0.916666667,cell.ratio
1,JY6,+/+,F,12,0.892307692,cell.ratio
2,JW1,+/+,M,12,0.861111111,cell.ratio
3,JZ6,Q111/+,F,12,0.7,cell.ratio
4,JX6,Q111/+,M,12,0.871794872,cell.ratio
5,JW4,+/+,M,12,0.7875,cell.ratio
6,JY1,+/+,F,12,0.98630137,cell.ratio
7,JX7,Q111/+,M,12,0.896103896,cell.ratio
8,JW5,+/+,M,12,0.907894737,cell.ratio
9,JY4,+/+,F,12,0.859649123,cell.ratio
10,KW1,+/+,M,12,0.901408451,cell.ratio
11,JZ9,Q111/+,F,12,1.111111111,cell.ratio
12,JY8,+/+,F,12,0.802197802,cell.ratio
13,JW6,+/+,M,12,0.918918919,cell.ratio
14,JZ5,Q111/+,F,12,0.829268293,cell.ratio
15,JX2,Q111/+,M,12,0.872093023,cell.ratio
16,JY9,+/+,F,12,0.844444444,cell.ratio
17,JZ2,Q111/+,F,12,0.897058824,cell.ratio
18,JW2,+/+,M,12,0.75,cell.ratio
19,JY3,+/+,F,12,0.909090909,cell.ratio
20,JW3,+/+,M,12,0.884615385,cell.ratio
21,KW3,+/+,M,12,0.821428571,cell.ratio
22,JY5,+/+,F,12,0.760416667,cell.ratio
23,JX5,Q111/+,M,12,0.888888889,cell.ratio
24,JZ8,Q111/+,F,12,0.705128205,cell.ratio
25,JX9,Q111/+,M,12,0.810126582,cell.ratio
26,JX3,Q111/+,M,12,0.838709677,cell.ratio
27,JZ3,Q111/+,F,12,0.841463415,cell.ratio
28,JZ7,Q111/+,F,12,0.886363636,cell.ratio
29,JY2,+/+,F,12,0.705128205,cell.ratio
30,JZ4,Q111/+,F,12,0.948979592,cell.ratio
31,JX8,Q111/+,M,12,0.785714286,cell.ratio
32,JX4,Q111/+,M,12,1,cell.ratio
33,JZ1,Q111/+,F,12,0.8125,cell.ratio
34,JY7,+/+,F,12,0.943820225,cell.ratio
1,JY6,+/+,F,12,1.074626866,cell.ratio
2,JW1,+/+,M,12,1.018518519,cell.ratio
5,JW4,+/+,M,12,0.817073171,cell.ratio
6,JY1,+/+,F,12,0.88,cell.ratio
8,JW5,+/+,M,12,0.890243902,cell.ratio
9,JY4,+/+,F,12,0.810126582,cell.ratio
10,KW1,+/+,M,12,0.855421687,cell.ratio
11,JZ9,Q111/+,F,12,0.8125,cell.ratio
12,JY8,+/+,F,12,0.922222222,cell.ratio
13,JW6,+/+,M,12,0.921052632,cell.ratio
14,JZ5,Q111/+,F,12,0.855072464,cell.ratio
15,JX2,Q111/+,M,12,0.8,cell.ratio
16,JY9,+/+,F,12,0.955223881,cell.ratio
17,JZ2,Q111/+,F,12,0.95890411,cell.ratio
18,JW2,+/+,M,12,0.850574713,cell.ratio
19,JY3,+/+,F,12,0.817073171,cell.ratio
20,JW3,+/+,M,12,0.729166667,cell.ratio
22,JY5,+/+,F,12,0.93902439,cell.ratio
23,JX5,Q111/+,M,12,0.773195876,cell.ratio
24,JZ8,Q111/+,F,12,0.829545455,cell.ratio
25,JX9,Q111/+,M,12,0.666666667,cell.ratio
26,JX3,Q111/+,M,12,0.813186813,cell.ratio
27,JZ3,Q111/+,F,12,0.881578947,cell.ratio
28,JZ7,Q111/+,F,12,0.853658537,cell.ratio
29,JY2,+/+,F,12,0.780487805,cell.ratio
30,JZ4,Q111/+,F,12,0.87628866,cell.ratio
31,JX8,Q111/+,M,12,0.879518072,cell.ratio
32,JX4,Q111/+,M,12,0.963855422,cell.ratio
33,JZ1,Q111/+,F,12,0.738636364,cell.ratio
34,JY7,+/+,F,12,0.956521739,cell.ratio
1,JZ6,Q111/+,F,12,0.735294118,cell.ratio
2,JX6,Q111/+,M,12,0.720930233,cell.ratio
3,JX7,Q111/+,M,12,0.62195122,cell.ratio
4,JY6,+/+,F,12,0.858974359,cell.ratio
5,JZ9,Q111/+,F,12,0.842105263,cell.ratio
6,JW1,+/+,M,12,0.719101124,cell.ratio
7,JZ5,Q111/+,F,12,0.87,cell.ratio
8,JX2,Q111/+,M,12,0.741573034,cell.ratio
9,JZ2,Q111/+,F,12,0.707070707,cell.ratio
11,JX5,Q111/+,M,12,0.727272727,cell.ratio
12,JY1,+/+,F,12,0.883116883,cell.ratio
13,JZ8,Q111/+,F,12,0.792682927,cell.ratio
14,JW5,+/+,M,12,0.795454545,cell.ratio
15,JY4,+/+,F,12,0.712328767,cell.ratio
16,KW1,+/+,M,12,0.844155844,cell.ratio
17,JX9,Q111/+,M,12,0.830985915,cell.ratio
18,JX3,Q111/+,M,12,0.789473684,cell.ratio
19,JY8,+/+,F,12,0.694117647,cell.ratio
21,JZ3,Q111/+,F,12,0.673684211,cell.ratio
22,JZ7,Q111/+,F,12,0.746835443,cell.ratio
23,JZ4,Q111/+,F,12,0.774193548,cell.ratio
24,JY7,+/+,F,12,0.642857143,cell.ratio
25,JX8,Q111/+,M,12,0.666666667,cell.ratio
26,JY9,+/+,F,12,0.873417722,cell.ratio
27,JW2,+/+,M,12,0.837209302,cell.ratio
28,JX4,Q111/+,M,12,0.761904762,cell.ratio
29,JY3,+/+,F,12,0.684210526,cell.ratio
31,JZ1,Q111/+,F,12,0.85106383,cell.ratio
32,KW3,+/+,M,12,0.780821918,cell.ratio
33,JY2,+/+,F,12,0.701298701,cell.ratio
34,JX1,Q111/+,M,12,0.77027027,cell.ratio
35,JY5,+/+,F,12,0.797752809,cell.ratio
1,HW1,+/+,F,3,114,cell.total
2,HX1,Q111/+,M,3,115,cell.total
3,HW2,+/+,F,3,102,cell.total
4,HW3,+/+,F,3,117,cell.total
5,HX2,Q111/+,M,3,139,cell.total
6,HZ1,Q111/+,F,3,125,cell.total
7,HX3,Q111/+,M,3,131,cell.total
8,HW4,+/+,F,3,117,cell.total
9,HW5,+/+,F,3,109,cell.total
10,HY1,+/+,F,3,116,cell.total
11,HZ2,Q111/+,F,3,120,cell.total
12,HY2,+/+,F,3,128,cell.total
13,HX4,Q111/+,M,3,110,cell.total
14,HX5,Q111/+,M,3,117,cell.total
15,HY3,+/+,F,3,120,cell.total
16,HZ3,Q111/+,F,3,127,cell.total
17,HY4,+/+,F,3,101,cell.total
18,HX7,Q111/+,M,3,106,cell.total
19,HZ4,Q111/+,F,3,112,cell.total
20,HV1,+/+,M,3,127,cell.total
21,HV2,+/+,M,3,116,cell.total
22,HX6,Q111/+,M,3,110,cell.total
23,HZ5,Q111/+,F,3,101,cell.total
24,HX8,Q111/+,M,3,113,cell.total
25,HV3,+/+,M,3,120,cell.total
26,HX9,Q111/+,M,3,132,cell.total
27,HZ6,Q111/+,F,3,108,cell.total
28,HV4,+/+,M,3,125,cell.total
29,HV5,+/+,M,3,122,cell.total
30,HZ7,Q111/+,F,3,87,cell.total
31,HV6,+/+,M,3,120,cell.total
32,HV7,+/+,M,3,109,cell.total
33,HZ8,Q111/+,F,3,99,cell.total
34,HV8,+/+,M,3,111,cell.total
35,HZ9,Q111/+,F,3,97,cell.total
1,HW1,+/+,F,3,104,cell.total
2,HX1,Q111/+,M,3,119,cell.total
3,HW2,+/+,F,3,104,cell.total
4,HW3,+/+,F,3,146,cell.total
5,HX2,Q111/+,M,3,116,cell.total
6,HZ1,Q111/+,F,3,109,cell.total
7,HX3,Q111/+,M,3,94,cell.total
8,HW4,+/+,F,3,102,cell.total
9,HW5,+/+,F,3,131,cell.total
10,HY1,+/+,F,3,110,cell.total
11,HZ2,Q111/+,F,3,142,cell.total
12,HY2,+/+,F,3,113,cell.total
13,HX4,Q111/+,M,3,110,cell.total
14,HX5,Q111/+,M,3,117,cell.total
15,HY3,+/+,F,3,100,cell.total
16,HZ3,Q111/+,F,3,117,cell.total
17,HY4,+/+,F,3,106,cell.total
18,HX7,Q111/+,M,3,95,cell.total
19,HZ4,Q111/+,F,3,94,cell.total
20,HV1,+/+,M,3,102,cell.total
21,HV2,+/+,M,3,115,cell.total
22,HX6,Q111/+,M,3,96,cell.total
23,HZ5,Q111/+,F,3,116,cell.total
24,HX8,Q111/+,M,3,131,cell.total
25,HV3,+/+,M,3,103,cell.total
26,HX9,Q111/+,M,3,86,cell.total
27,HZ6,Q111/+,F,3,107,cell.total
28,HV4,+/+,M,3,127,cell.total
29,HV5,+/+,M,3,123,cell.total
30,HZ7,Q111/+,F,3,91,cell.total
31,HV6,+/+,M,3,106,cell.total
32,HV7,+/+,M,3,108,cell.total
33,HZ8,Q111/+,F,3,94,cell.total
34,HV8,+/+,M,3,114,cell.total
35,HZ9,Q111/+,F,3,120,cell.total
1,HX2,Q111/+,M,3,118,cell.total
2,HX3,Q111/+,M,3,132,cell.total
3,HV1,+/+,M,3,118,cell.total
4,HV2,+/+,M,3,118,cell.total
5,HX4,Q111/+,M,3,115,cell.total
6,HX5,Q111/+,M,3,93,cell.total
7,HV3,+/+,M,3,118,cell.total
8,HX6,Q111/+,M,3,119,cell.total
9,HV4,+/+,M,3,130,cell.total
10,HV5,+/+,M,3,132,cell.total
11,HV6,+/+,M,3,103,cell.total
12,HX7,Q111/+,M,3,114,cell.total
13,HX8,Q111/+,M,3,101,cell.total
14,HX9,Q111/+,M,3,115,cell.total
15,HV7,+/+,M,3,100,cell.total
16,HZ1,Q111/+,F,3,101,cell.total
17,HV8,+/+,M,3,112,cell.total
18,HZ2,Q111/+,F,3,99,cell.total
19,HW1,+/+,F,3,133,cell.total
20,HW2,+/+,F,3,118,cell.total
21,HZ3,Q111/+,F,3,109,cell.total
22,HZ4,Q111/+,F,3,97,cell.total
23,HW3,+/+,F,3,139,cell.total
24,HW4,+/+,F,3,112,cell.total
25,HZ5,Q111/+,F,3,91,cell.total
26,HZ6,Q111/+,F,3,111,cell.total
27,HW5,+/+,F,3,104,cell.total
28,HZ7,Q111/+,F,3,100,cell.total
29,HY1,+/+,F,3,109,cell.total
30,HY2,+/+,F,3,87,cell.total
31,HZ8,Q111/+,F,3,102,cell.total
32,HY3,+/+,F,3,95,cell.total
33,HY4,+/+,F,3,115,cell.total
34,HX1,Q111/+,M,3,113,cell.total
35,HZ9,Q111/+,F,3,114,cell.total
1,FW8,+/+,F,9,99,cell.total
2,MH2,Q111/+,M,9,109,cell.total
3,MW8,+/+,M,9,92,cell.total
4,MH4,Q111/+,M,9,102,cell.total
5,FW6,+/+,F,9,84,cell.total
6,MW3,+/+,M,9,96,cell.total
7,FH7,Q111/+,F,9,81,cell.total
8,MH9,Q111/+,M,9,100,cell.total
9,FH8,Q111/+,F,9,99,cell.total
10,FH6,Q111/+,F,9,113,cell.total
11,MW6,+/+,M,9,80,cell.total
12,FW5,+/+,F,9,95,cell.total
13,FH4,Q111/+,F,9,88,cell.total
14,FW7,+/+,F,9,99,cell.total
15,MW4,+/+,M,9,75,cell.total
16,MH3,Q111/+,M,9,119,cell.total
17,MW2,+/+,M,9,77,cell.total
18,MH7,Q111/+,M,9,118,cell.total
19,MH1,Q111/+,M,9,102,cell.total
20,MW9,+/+,M,9,77,cell.total
21,MH5,Q111/+,M,9,107,cell.total
22,FW4,+/+,F,9,89,cell.total
23,FH2,Q111/+,F,9,100,cell.total
24,MW7,+/+,M,9,100,cell.total
26,FH3,Q111/+,F,9,92,cell.total
27,FW1,+/+,F,9,99,cell.total
28,MW1,+/+,M,9,90,cell.total
29,FH5,Q111/+,F,9,87,cell.total
30,FW3,+/+,F,9,73,cell.total
31,MH6,Q111/+,M,9,86,cell.total
32,FH9,Q111/+,F,9,74,cell.total
33,MW5,+/+,M,9,73,cell.total
34,MH8,Q111/+,M,9,94,cell.total
35,FH1,Q111/+,F,9,88,cell.total
2,MW4,+/+,M,9,106,cell.total
7,MH6,Q111/+,M,9,95,cell.total
8,MH3,Q111/+,M,9,117,cell.total
10,MW9,+/+,M,9,89,cell.total
11,FW4,+/+,F,9,87,cell.total
12,FW1,+/+,F,9,123,cell.total
13,FW7,+/+,F,9,112,cell.total
14,MH2,Q111/+,M,9,106,cell.total
16,MW5,+/+,M,9,97,cell.total
23,FW5,+/+,F,9,80,cell.total
25,FH3,Q111/+,F,9,102,cell.total
27,MW3,+/+,M,9,103,cell.total
28,FW3,+/+,F,9,99,cell.total
29,MH5,Q111/+,M,9,101,cell.total
31,MW6,+/+,M,9,107,cell.total
32,FH4,Q111/+,F,9,108,cell.total
33,MH4,Q111/+,M,9,99,cell.total
35,MH8,Q111/+,M,9,90,cell.total
37,FW2,+/+,F,9,70,cell.total
38,FH6,Q111/+,F,9,100,cell.total
41,MH9,Q111/+,M,9,98,cell.total
42,MH1,Q111/+,M,9,112,cell.total
44,FW9,+/+,F,9,89,cell.total
46,FH7,Q111/+,F,9,107,cell.total
47,FW8,+/+,F,9,95,cell.total
52,MW7,+/+,M,9,95,cell.total
54,FH2,Q111/+,F,9,94,cell.total
57,MW1,+/+,M,9,94,cell.total
58,FH8,Q111/+,F,9,104,cell.total
60,MH7,Q111/+,M,9,116,cell.total
65,FH1,Q111/+,F,9,85,cell.total
67,FH9,Q111/+,F,9,105,cell.total
68,MW8,+/+,M,9,93,cell.total
70,FH5,Q111/+,F,9,111,cell.total
1,FW1,+/+,F,9,119,cell.total
2,MH5,Q111/+,M,9,94,cell.total
3,MW6,+/+,M,9,96,cell.total
4,FH5,Q111/+,F,9,105,cell.total
5,MH9,Q111/+,M,9,104,cell.total
7,FH4,Q111/+,F,9,94,cell.total
8,MW7,+/+,M,9,90,cell.total
9,FW9,+/+,F,9,92,cell.total
10,FH9,Q111/+,F,9,85,cell.total
12,FH8,Q111/+,F,9,99,cell.total
14,MH7,Q111/+,M,9,109,cell.total
15,FW5,+/+,F,9,76,cell.total
16,MW5,+/+,M,9,112,cell.total
17,MH8,Q111/+,M,9,94,cell.total
18,FH6,Q111/+,F,9,102,cell.total
19,MW1,+/+,M,9,91,cell.total
20,FH1,Q111/+,F,9,82,cell.total
21,FW7,+/+,F,9,94,cell.total
22,MW4,+/+,M,9,93,cell.total
24,MH3,Q111/+,M,9,109,cell.total
26,MW8,+/+,M,9,114,cell.total
27,FH3,Q111/+,F,9,95,cell.total
28,MH4,Q111/+,M,9,97,cell.total
29,MH6,Q111/+,M,9,91,cell.total
30,MH1,Q111/+,M,9,112,cell.total
31,MW2,+/+,M,9,84,cell.total
32,FW4,+/+,F,9,98,cell.total
33,MW9,+/+,M,9,103,cell.total
34,FH2,Q111/+,F,9,107,cell.total
35,FW3,+/+,F,9,101,cell.total
36,MW3,+/+,M,9,72,cell.total
1,JY6,+/+,F,12,65,cell.total
2,JW1,+/+,M,12,72,cell.total
3,JZ6,Q111/+,F,12,100,cell.total
4,JX6,Q111/+,M,12,78,cell.total
5,JW4,+/+,M,12,80,cell.total
6,JY1,+/+,F,12,73,cell.total
7,JX7,Q111/+,M,12,77,cell.total
8,JW5,+/+,M,12,76,cell.total
9,JY4,+/+,F,12,57,cell.total
10,KW1,+/+,M,12,71,cell.total
11,JZ9,Q111/+,F,12,63,cell.total
12,JY8,+/+,F,12,91,cell.total
13,JW6,+/+,M,12,74,cell.total
14,JZ5,Q111/+,F,12,82,cell.total
15,JX2,Q111/+,M,12,86,cell.total
16,JY9,+/+,F,12,90,cell.total
17,JZ2,Q111/+,F,12,68,cell.total
18,JW2,+/+,M,12,100,cell.total
19,JY3,+/+,F,12,88,cell.total
20,JW3,+/+,M,12,78,cell.total
21,KW3,+/+,M,12,84,cell.total
22,JY5,+/+,F,12,96,cell.total
23,JX5,Q111/+,M,12,99,cell.total
24,JZ8,Q111/+,F,12,78,cell.total
25,JX9,Q111/+,M,12,79,cell.total
26,JX3,Q111/+,M,12,93,cell.total
27,JZ3,Q111/+,F,12,82,cell.total
28,JZ7,Q111/+,F,12,88,cell.total
29,JY2,+/+,F,12,78,cell.total
30,JZ4,Q111/+,F,12,98,cell.total
31,JX8,Q111/+,M,12,84,cell.total
32,JX4,Q111/+,M,12,76,cell.total
33,JZ1,Q111/+,F,12,96,cell.total
34,JY7,+/+,F,12,89,cell.total
1,JY6,+/+,F,12,67,cell.total
2,JW1,+/+,M,12,54,cell.total
5,JW4,+/+,M,12,82,cell.total
6,JY1,+/+,F,12,75,cell.total
8,JW5,+/+,M,12,82,cell.total
9,JY4,+/+,F,12,79,cell.total
10,KW1,+/+,M,12,83,cell.total
11,JZ9,Q111/+,F,12,80,cell.total
12,JY8,+/+,F,12,90,cell.total
13,JW6,+/+,M,12,76,cell.total
14,JZ5,Q111/+,F,12,69,cell.total
15,JX2,Q111/+,M,12,95,cell.total
16,JY9,+/+,F,12,67,cell.total
