mouse,gender,genotype,age,endpoint,measure,tissue
MH1,M,Q111/+,9,Abhd1,2.73227,liver
MH3,M,Q111/+,9,Abhd1,1.715704,liver
MH4,M,Q111/+,9,Abhd1,1.391681,liver
MH5,M,Q111/+,9,Abhd1,2.433395,liver
MW1,M,+/+,9,Abhd1,0.20855,liver
MW2,M,+/+,9,Abhd1,0.309316,liver
MW3,M,+/+,9,Abhd1,0.206962,liver
FH1,F,Q111/+,9,Abhd1,2.034686,liver
FH2,F,Q111/+,9,Abhd1,3.258197,liver
FH3,F,Q111/+,9,Abhd1,2.893897,liver
FW1,F,+/+,9,Abhd1,0.104597,liver
FW2,F,+/+,9,Abhd1,0.075024,liver
FW3,F,+/+,9,Abhd1,0.099544,liver
FW4,F,+/+,9,Abhd1,0.30576,liver
JY9,F,+/+,12,Abhd1,0.069013,liver
JX5,M,Q111/+,12,Abhd1,1.463308,liver
JY3,F,+/+,12,Abhd1,0.172513,liver
JY4,F,+/+,12,Abhd1,0.104746,liver
JY5,F,+/+,12,Abhd1,0.141074,liver
JZ3,F,Q111/+,12,Abhd1,2.303242,liver
JZ4,F,Q111/+,12,Abhd1,1.989642,liver
JZ5,F,Q111/+,12,Abhd1,0.901025,liver
JZ6,F,Q111/+,12,Abhd1,2.307652,liver
JW1,M,+/+,12,Abhd1,0.134934,liver
JW2,M,+/+,12,Abhd1,0.092335,liver
JW3,M,+/+,12,Abhd1,0.102364,liver
JW4,M,+/+,12,Abhd1,0.238904,liver
JX1,M,Q111/+,12,Abhd1,0.154635,liver
JX2,M,Q111/+,12,Abhd1,2.997007,liver
JX3,M,Q111/+,12,Abhd1,4.716747,liver
JX4,M,Q111/+,12,Abhd1,0.974832,liver
JX5,M,Q111/+,12,Insig2,0.407224,liver
JY9,F,+/+,12,Insig2,0.537746,liver
JY3,F,+/+,12,Insig2,0.262227,liver
JY4,F,+/+,12,Insig2,0.746194,liver
JY5,F,+/+,12,Insig2,1.149017,liver
JZ3,F,Q111/+,12,Insig2,0.507232,liver
JZ4,F,Q111/+,12,Insig2,0.413608,liver
JZ5,F,Q111/+,12,Insig2,0.626722,liver
JZ6,F,Q111/+,12,Insig2,1.342683,liver
JW1,M,+/+,12,Insig2,2.24519,liver
JW2,M,+/+,12,Insig2,0.671025,liver
JW3,M,+/+,12,Insig2,0.611951,liver
JW4,M,+/+,12,Insig2,3.771046,liver
JX1,M,Q111/+,12,Insig2,0.851826,liver
JX2,M,Q111/+,12,Insig2,3.39515,liver
JX3,M,Q111/+,12,Insig2,4.957928,liver
JX4,M,Q111/+,12,Insig2,0.978423,liver
HV1,M,+/+,3,Insig2,1.43059,liver
HV2,M,+/+,3,Insig2,0.723281,liver
HV3,M,+/+,3,Insig2,1.276207,liver
HV4,M,+/+,3,Insig2,0.848024,liver
HW1,F,+/+,3,Insig2,1.4403,liver
HW2,F,+/+,3,Insig2,0.522854,liver
HW3,F,+/+,3,Insig2,0.301599,liver
HW5,F,+/+,3,Insig2,0.707219,liver
HX1,M,Q111/+,3,Insig2,1.193763,liver
HX2,M,Q111/+,3,Insig2,0.999517,liver
HX3,M,Q111/+,3,Insig2,0.520308,liver
HX4,M,Q111/+,3,Insig2,1.044007,liver
HX5,M,Q111/+,3,Insig2,1.190892,liver
HZ1,F,Q111/+,3,Insig2,3.314501,liver
HZ2,F,Q111/+,3,Insig2,0.993211,liver
HZ3,F,Q111/+,3,Insig2,0.952742,liver
HZ4,F,Q111/+,3,Insig2,1.431667,liver
FH1,F,Q111/+,9,Insig2,1.941536,liver
FH2,F,Q111/+,9,Insig2,2.614504,liver
FH3,F,Q111/+,9,Insig2,0.929422,liver
FW1,F,+/+,9,Insig2,0.474522,liver
FW2,F,+/+,9,Insig2,1.295618,liver
FW3,F,+/+,9,Insig2,1.689022,liver
FW4,F,+/+,9,Insig2,3.092351,liver
FW5,F,+/+,9,Insig2,0.591037,liver
MH1,M,Q111/+,9,Insig2,0.797196,liver
MH3,M,Q111/+,9,Insig2,0.509307,liver
MH4,M,Q111/+,9,Insig2,0.528962,liver
MH5,M,Q111/+,9,Insig2,0.635287,liver
MW1,M,+/+,9,Insig2,1.346338,liver
MW3,M,+/+,9,Insig2,1.380117,liver
HW1,F,+/+,3,Islr2,0.429087,striatum
HW2,F,+/+,3,Islr2,0.847579,striatum
HW4,F,+/+,3,Islr2,0.567485,striatum
HW5,F,+/+,3,Islr2,0.199858,striatum
HV2,M,+/+,3,Islr2,1.409737,striatum
HV3,M,+/+,3,Islr2,0.802031,striatum
HV4,M,+/+,3,Islr2,1.900015,striatum
HZ1,F,Q111/+,3,Islr2,0.618367,striatum
HZ4,F,Q111/+,3,Islr2,0.601198,striatum
HX1,M,Q111/+,3,Islr2,3.127161,striatum
HX2,M,Q111/+,3,Islr2,1.524571,striatum
HX3,M,Q111/+,3,Islr2,3.119152,striatum
HX4,M,Q111/+,3,Islr2,2.666769,striatum
HX5,M,Q111/+,3,Islr2,0.051789,striatum
FW1,F,+/+,9,Islr2,0.141804,striatum
FW2,F,+/+,9,Islr2,0.211361,striatum
FW3,F,+/+,9,Islr2,0.286969,striatum
FW4,F,+/+,9,Islr2,0.216774,striatum
FW5,F,+/+,9,Islr2,0.061729,striatum
MW1,M,+/+,9,Islr2,0.712273,striatum
MW2,M,+/+,9,Islr2,1.56853,striatum
MW3,M,+/+,9,Islr2,0.241881,striatum
MW4,M,+/+,9,Islr2,1.824187,striatum
FH1,F,Q111/+,9,Islr2,0.682184,striatum
FH2,F,Q111/+,9,Islr2,1.08199,striatum
FH3,F,Q111/+,9,Islr2,0.331473,striatum
FH4,F,Q111/+,9,Islr2,1.640627,striatum
MH2,M,Q111/+,9,Islr2,1.367046,striatum
MH3,M,Q111/+,9,Islr2,1.727276,striatum
MH4,M,Q111/+,9,Islr2,4.028339,striatum
MH5,M,Q111/+,9,Islr2,0.133088,striatum
JY5,F,+/+,12,Islr2,0.157368,striatum
JY1,F,+/+,12,Islr2,1.611886,striatum
JY2,F,+/+,12,Islr2,0.995289,striatum
JY3,F,+/+,12,Islr2,0.622303,striatum
JW1,M,+/+,12,Islr2,0.257557,striatum
JW2,M,+/+,12,Islr2,0.289467,striatum
JW3,M,+/+,12,Islr2,0.825726,striatum
JW4,M,+/+,12,Islr2,0.908216,striatum
JZ1,F,Q111/+,12,Islr2,1.579856,striatum
JZ2,F,Q111/+,12,Islr2,2.566603,striatum
JZ3,F,Q111/+,12,Islr2,2.048644,striatum
JZ4,F,Q111/+,12,Islr2,2.95626,striatum
JX5,M,Q111/+,12,Islr2,0.905701,striatum
JX1,M,Q111/+,12,Islr2,1.471465,striatum
JX2,M,Q111/+,12,Islr2,1.458465,striatum
JX3,M,Q111/+,12,Islr2,0.830917,striatum
JW1,M,+/+,12,H60b,0.950403,striatum
JW2,M,+/+,12,H60b,0.20538,striatum
JW3,M,+/+,12,H60b,0.370411,striatum
JW4,M,+/+,12,H60b,0.427634,striatum
JY1,F,+/+,12,H60b,0.103985,striatum
JY2,F,+/+,12,H60b,0.519791,striatum
JY3,F,+/+,12,H60b,0.03643,striatum
JY4,F,+/+,12,H60b,0.270231,striatum
JY5,F,+/+,12,H60b,0.424845,striatum
FW5,F,+/+,9,H60b,0.46083,striatum
HW5,F,+/+,3,H60b,0.218579,striatum
FW1,F,+/+,9,H60b,0.284144,striatum
FW2,F,+/+,9,H60b,0.291446,striatum
FW3,F,+/+,9,H60b,0.112358,striatum
FW4,F,+/+,9,H60b,0.342676,striatum
MW1,M,+/+,9,H60b,0.903953,striatum
MW2,M,+/+,9,H60b,0.26472,striatum
MW4,M,+/+,9,H60b,0.249281,striatum
HW1,F,+/+,3,H60b,0.18686,striatum
HW2,F,+/+,3,H60b,0.574278,striatum
HW4,F,+/+,3,H60b,0.664788,striatum
HV1,M,+/+,3,H60b,0.162676,striatum
HV2,M,+/+,3,H60b,0.394349,striatum
HV4,M,+/+,3,H60b,0.379251,striatum
JX1,M,Q111/+,12,H60b,2.138328,striatum
JX2,M,Q111/+,12,H60b,2.190594,striatum
JX3,M,Q111/+,12,H60b,1.618934,striatum
JX5,M,Q111/+,12,H60b,1.207814,striatum
JZ1,F,Q111/+,12,H60b,1.321948,striatum
JZ2,F,Q111/+,12,H60b,1.374145,striatum
JZ3,F,Q111/+,12,H60b,0.678693,striatum
JZ4,F,Q111/+,12,H60b,0.580268,striatum
MH5,M,Q111/+,9,H60b,0.093653,striatum
HX5,M,Q111/+,3,H60b,1.089392,striatum
FH1,F,Q111/+,9,H60b,1.549714,striatum
FH2,F,Q111/+,9,H60b,1.535363,striatum
FH3,F,Q111/+,9,H60b,0.422319,striatum
FH4,F,Q111/+,9,H60b,0.860263,striatum
MH2,M,Q111/+,9,H60b,3.272393,striatum
MH3,M,Q111/+,9,H60b,2.476387,striatum
MH4,M,Q111/+,9,H60b,2.224079,striatum
HZ1,F,Q111/+,3,H60b,0.258709,striatum
HZ4,F,Q111/+,3,H60b,0.89197,striatum
HX1,M,Q111/+,3,H60b,1.615786,striatum
HX2,M,Q111/+,3,H60b,0.446968,striatum
HX3,M,Q111/+,3,H60b,0.341332,striatum
HX4,M,Q111/+,3,H60b,0.288283,striatum
FW5,F,+/+,9,N4bp2,0.677825,striatum
HW5,F,+/+,3,N4bp2,0.524647,striatum
FW1,F,+/+,9,N4bp2,0.311308,striatum
FW2,F,+/+,9,N4bp2,0.475814,striatum
FW3,F,+/+,9,N4bp2,0.502223,striatum
FW4,F,+/+,9,N4bp2,0.769726,striatum
MW1,M,+/+,9,N4bp2,0.600374,striatum
MW2,M,+/+,9,N4bp2,0.981388,striatum
MW3,M,+/+,9,N4bp2,0.219376,striatum
MW4,M,+/+,9,N4bp2,1.084263,striatum
HW1,F,+/+,3,N4bp2,0.88214,striatum
HW2,F,+/+,3,N4bp2,0.821275,striatum
HW4,F,+/+,3,N4bp2,0.97444,striatum
HX2,M,+/+,3,N4bp2,1.104528,striatum
HX3,M,+/+,3,N4bp2,1.252345,striatum
HX4,M,+/+,3,N4bp2,1.346805,striatum
JW1,M,+/+,12,N4bp2,0.880635,striatum
JW2,M,+/+,12,N4bp2,0.459241,striatum
JW3,M,+/+,12,N4bp2,0.654953,striatum
JW4,M,+/+,12,N4bp2,0.543176,striatum
JY1,F,+/+,12,N4bp2,0.448875,striatum
JY2,F,+/+,12,N4bp2,0.499189,striatum
JY3,F,+/+,12,N4bp2,0.506663,striatum
JY4,F,+/+,12,N4bp2,0.450585,striatum
JY5,F,+/+,12,N4bp2,0.829289,striatum
MH5,M,Q111/+,9,N4bp2,0.892764,striatum
HX5,M,Q111/+,3,N4bp2,0.469177,striatum
FH1,F,Q111/+,9,N4bp2,1.060221,striatum
FH2,F,Q111/+,9,N4bp2,1.281554,striatum
FH3,F,Q111/+,9,N4bp2,0.638817,striatum
FH4,F,Q111/+,9,N4bp2,1.031608,striatum
MH2,M,Q111/+,9,N4bp2,1.452158,striatum
MH3,M,Q111/+,9,N4bp2,1.132645,striatum
MH4,M,Q111/+,9,N4bp2,1.344725,striatum
HZ1,F,Q111/+,3,N4bp2,1.110835,striatum
HZ4,F,Q111/+,3,N4bp2,0.719605,striatum
HV1,M,Q111/+,3,N4bp2,1.279491,striatum
HV2,M,Q111/+,3,N4bp2,1.063422,striatum
HV4,M,Q111/+,3,N4bp2,1.172864,striatum
HX1,M,Q111/+,3,N4bp2,1.193162,striatum
JX1,M,Q111/+,12,N4bp2,1.148632,striatum
JX2,M,Q111/+,12,N4bp2,0.963133,striatum
JX3,M,Q111/+,12,N4bp2,1.315401,striatum
JX5,M,Q111/+,12,N4bp2,0.895175,striatum
JZ1,F,Q111/+,12,N4bp2,0.774214,striatum
JZ2,F,Q111/+,12,N4bp2,0.595891,striatum
JZ3,F,Q111/+,12,N4bp2,0.680833,striatum
JZ4,F,Q111/+,12,N4bp2,0.604905,striatum
